id,club_name
1,Ajax
2,AZ Alkmaar
3,PSV Eindhoven
4,Feyenoord
5,ADO Den Haag
6,SC Heerenveen
7,Fulham
8,Queens Park Rangers
9,Leeds
10,Wolverhampton Wanderers
11,Aston Villa
12,Sunderland
13,Cardiff
14,Hull
15,Brentford
16,Ipswich
17,Millwall
18,Reading
19,Sporting CP
20,Atletico Madrid
21,Lyon
22,Arsenal
23,Atalanta
24,Lokomotiv Moscow
25,Oestersunds FK
26,RasenBallsport Leipzig
27,Real Sociedad
28,AC Milan
29,CSKA Moscow
30,Zenit St. Petersburg
31,Marseille
32,Rijeka
33,Lazio
34,Braga
35,Dynamo Kyiv
36,Ludogorets Razgrad
37,FK Crvena Zvezda
38,Borussia Dortmund
39,FC Copenhagen
40,Salzburg
41,Vitoria de Guimaraes
42,Partizan Belgrade
43,Everton
44,FC Cologne
45,Villarreal
46,Nice
47,Hoffenheim
48,Maccabi Tel Aviv
49,Barcelona
50,Real Madrid
51,Celta Vigo
52,Valencia
53,Sevilla
54,Girona
55,Levante
56,Real Betis
57,Deportivo La Coruna
58,Getafe
59,Athletic Bilbao
60,Eibar
61,Leganes
62,FC Krasnodar
63,Spartak Moscow
64,Rubin Kazan
65,Arsenal Tula
66,Bayern Munich
67,Hannover 96
68,Augsburg
69,Borussia M.Gladbach
70,VfB Stuttgart
71,Werder Bremen
72,Schalke 04
73,Bayer Leverkusen
74,Eintracht Frankfurt
75,Hertha Berlin
76,Wolfsburg
77,Mainz 05
78,Hamburger SV
79,Palmeiras
80,Corinthians
81,Sao Paulo
82,America MG
83,Gremio
84,Chongqing Lifan
85,Dalian Yifang
86,Tianjin Quanjian
87,Paris Saint Germain
88,Dijon
89,Monaco
90,Montpellier
91,Bordeaux
92,Rennes
93,Nantes
94,Guingamp
95,Amiens
96,Toulouse
97,Metz
98,Los Angeles FC
99,Vancouver Whitecaps
100,New York City FC
101,Manchester City
102,Liverpool
103,Chelsea
104,Tottenham
105,Manchester United
106,Leicester
107,Crystal Palace
108,West Ham
109,West Bromwich Albion
110,Burnley
111,Swansea
112,Stoke
113,Huddersfield
114,Southampton
115,Brighton
116,Watford
117,FC Porto
118,Benfica
119,Feirense
120,Kasimpasa
121,Besiktas
122,Alanyaspor
123,Bursaspor
124,Trabzonspor
125,Galatasaray
126,Juventus
127,Roma
128,Shakhtar Donetsk
129,FC Basel 1893
130,Napoli
131,Celtic
132,Anderlecht
133,Inter
134,Torino
135,Sampdoria
136,Fiorentina
137,Udinese
138,Genoa
139,Bologna
140,SPAL 2013
141,Crotone
